"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes"
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Education","13.4","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","50273000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Social protection","13.5","2011","1000","lev","2008","Western calendar year","6040000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Social protection","13.5","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","937000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Other services","13.6","2011","1000","lev","2008","Western calendar year","149613000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Other services","13.6","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","136432000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Equals: NPISHs final consumption expenditure","P.31/13","2011","1000","lev","2008","Western calendar year","291000000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Equals: NPISHs final consumption expenditure","P.31/13","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","264489000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Housing","14.1","2011","1000","lev","2008","Western calendar year","64921000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Housing","14.1","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","61905000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Health","14.2","2011","1000","lev","2008","Western calendar year","2976300000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Health","14.2","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","3004346000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Recreation and culture","14.3","2011","1000","lev","2008","Western calendar year","216500000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Recreation and culture","14.3","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","301064000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Education","14.4","2011","1000","lev","2008","Western calendar year","2508700000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Education","14.4","2011","300","lev (re-denom. 1:1000)","1993","Western calendar year","2137930000",""
